P5940:R0=0    
P5940:R1=1    P5940:R2=1.41421    P5940:R3=1.73205    P5940:R4=2    
P5940:R5=2.23607    P5940:R6=2.44949    P5940:R7=2.64575    P5940:R8=2.82843    
P5940:R9=3    P5940:R10=3.16228    P5940:R11=3.31662    P5940:R12=3.4641    
P5940:R13=3.60555    P5940:R14=3.74166    P5940:R15=3.87298    P5940:R16=4    
P5940:R17=4.12311    P5940:R18=4.24264    P5940:R19=4.3589    P5940:R20=4.47214    
P5940:R21=4.58258    P5940:R22=4.69042    P5940:R23=4.79583    P5940:R24=4.89898    
P5940:R25=5    P5940:R26=5.09902    P5940:R27=5.19615    P5940:R28=5.2915    
P5940:R29=5.38516    P5940:R30=5.47723    P5940:R31=5.56776    P5940:R32=5.65685    
P5940:R33=5.74456    P5940:R34=5.83095    P5940:R35=5.91608    P5940:R36=6    
P5940:R37=6.08276    P5940:R38=6.16441    P5940:R39=6.245    P5940:R40=6.32456    
P5940:R41=6.40312    P5940:R42=6.48074    P5940:R43=6.55744    P5940:R44=6.63325    
P5940:R45=6.7082    P5940:R46=6.78233    P5940:R47=6.85565    P5940:R48=6.9282    
P5940:R49=7    P5940:R50=7.07107    P5940:R51=7.14143    P5940:R52=7.2111    
P5940:R53=7.28011    P5940:R54=7.34847    P5940:R55=7.4162    P5940:R56=7.48331    
P5940:R57=7.54983    P5940:R58=7.61577    P5940:R59=7.68115    P5940:R60=7.74597    
P5940:R61=7.81025    P5940:R62=7.87401    P5940:R63=7.93725    P5940:R64=8    
P5940:R65=8.06226    P5940:R66=8.12404    P5940:R67=8.18535    P5940:R68=8.24621    
P5940:R69=8.30662    P5940:R70=8.3666    P5940:R71=8.42615    P5940:R72=8.48528    
P5940:R73=8.544    P5940:R74=8.60233    P5940:R75=8.66025    P5940:R76=8.7178    
P5940:R77=8.77496    P5940:R78=8.83176    P5940:R79=8.88819    P5940:R80=8.94427    
P5940:R81=9    P5940:R82=9.05539    P5940:R83=9.11043    P5940:R84=9.16515    
P5940:R85=9.21954    P5940:R86=9.27362    P5940:R87=9.32738    P5940:R88=9.38083    
P5940:R89=9.43398    P5940:R90=9.48683    P5940:R91=9.53939    P5940:R92=9.59166    
P5940:R93=9.64365    P5940:R94=9.69536    P5940:R95=9.74679    P5940:R96=9.79796    
P5940:R97=9.84886    P5940:R98=9.89949    P5940:R99=9.94987    P5940:R100=10    
P5940:R101=10.0499    P5940:R102=10.0995    P5940:R103=10.1489    P5940:R104=10.198    
P5940:R105=10.247    P5940:R106=10.2956    P5940:R107=10.3441    P5940:R108=10.3923    
P5940:R109=10.4403    P5940:R110=10.4881    P5940:R111=10.5357    P5940:R112=10.583    
P5940:R113=10.6301    P5940:R114=10.6771    P5940:R115=10.7238    P5940:R116=10.7703    
P5940:R117=10.8167    P5940:R118=10.8628    P5940:R119=10.9087    P5940:R120=10.9545    
P5940:R121=11    P5940:R122=11.0454    P5940:R123=11.0905    P5940:R124=11.1355    
P5940:R125=11.1803    P5940:R126=11.225    P5940:R127=11.2694    P5940:R128=11.3137    
P5940:R129=11.3578    P5940:R130=11.4018    P5940:R131=11.4455    P5940:R132=11.4891    
P5940:R133=11.5326    P5940:R134=11.5758    P5940:R135=11.619    P5940:R136=11.6619    
P5940:R137=11.7047    P5940:R138=11.7473    P5940:R139=11.7898    P5940:R140=11.8322    
P5940:R141=11.8743    P5940:R142=11.9164    P5940:R143=11.9583    P5940:R144=12    
P5940:R145=12.0416    P5940:R146=12.083    P5940:R147=12.1244    P5940:R148=12.1655    
P5940:R149=12.2066    P5940:R150=12.2474    P5940:R151=12.2882    P5940:R152=12.3288    
P5940:R153=12.3693    P5940:R154=12.4097    P5940:R155=12.4499    P5940:R156=12.49    
P5940:R157=12.53    P5940:R158=12.5698    P5940:R159=12.6095    P5940:R160=12.6491    
P5940:R161=12.6886    P5940:R162=12.7279    P5940:R163=12.7671    P5940:R164=12.8062    
P5940:R165=12.8452    P5940:R166=12.8841    P5940:R167=12.9228    P5940:R168=12.9615    
P5940:R169=13    P5940:R170=13.0384    P5940:R171=13.0767    P5940:R172=13.1149    
P5940:R173=13.1529    P5940:R174=13.1909    P5940:R175=13.2288    P5940:R176=13.2665    
P5940:R177=13.3041    P5940:R178=13.3417    P5940:R179=13.3791    P5940:R180=13.4164    
P5940:R181=13.4536    P5940:R182=13.4907    P5940:R183=13.5277    P5940:R184=13.5647    
P5940:R185=13.6015    P5940:R186=13.6382    P5940:R187=13.6748    P5940:R188=13.7113    
P5940:R189=13.7477    P5940:R190=13.784    P5940:R191=13.8203    P5940:R192=13.8564    
P5940:R193=13.8924    P5940:R194=13.9284    P5940:R195=13.9642    P5940:R196=14    
P5940:R197=14.0357    P5940:R198=14.0712    P5940:R199=14.1067    P5940:R200=14.1421    
P5940:R201=14.1774    P5940:R202=14.2127    P5940:R203=14.2478    P5940:R204=14.2829    
P5940:R205=14.3178    P5940:R206=14.3527    P5940:R207=14.3875    P5940:R208=14.4222    
P5940:R209=14.4568    P5940:R210=14.4914    P5940:R211=14.5258    P5940:R212=14.5602    
P5940:R213=14.5945    P5940:R214=14.6287    P5940:R215=14.6629    P5940:R216=14.6969    
P5940:R217=14.7309    P5940:R218=14.7648    P5940:R219=14.7986    P5940:R220=14.8324    
P5940:R221=14.8661    P5940:R222=14.8997    P5940:R223=14.9332    P5940:R224=14.9666    
P5940:R225=15    P5940:R226=15.0333    P5940:R227=15.0665    P5940:R228=15.0997    
P5940:R229=15.1327    P5940:R230=15.1658    P5940:R231=15.1987    P5940:R232=15.2315    
P5940:R233=15.2643    P5940:R234=15.2971    P5940:R235=15.3297    P5940:R236=15.3623    
P5940:R237=15.3948    P5940:R238=15.4272    P5940:R239=15.4596    P5940:R240=15.4919    
P5940:R241=15.5242    P5940:R242=15.5563    P5940:R243=15.5885    P5940:R244=15.6205    
P5940:R245=15.6525    P5940:R246=15.6844    P5940:R247=15.7162    P5940:R248=15.748    
P5940:R249=15.7797    P5940:R250=15.8114    P5940:R251=15.843    P5940:R252=15.8745    
P5940:R253=15.906    P5940:R254=15.9374    P5940:R255=15.9687    P5940:R256=16    
P5940:R257=16.0312    P5940:R258=16.0624    P5940:R259=16.0935    P5940:R260=16.1245    
P5940:R261=16.1555    P5940:R262=16.1864    P5940:R263=16.2173    P5940:R264=16.2481    
P5940:R265=16.2788    P5940:R266=16.3095    P5940:R267=16.3401    P5940:R268=16.3707    
P5940:R269=16.4012    P5940:R270=16.4317    P5940:R271=16.4621    P5940:R272=16.4924    
P5940:R273=16.5227    P5940:R274=16.5529    P5940:R275=16.5831    P5940:R276=16.6132    
P5940:R277=16.6433    P5940:R278=16.6733    P5940:R279=16.7033    P5940:R280=16.7332    
P5940:R281=16.7631    P5940:R282=16.7929    P5940:R283=16.8226    P5940:R284=16.8523    
P5940:R285=16.8819    P5940:R286=16.9115    P5940:R287=16.9411    P5940:R288=16.9706    
P5940:R289=17    P5940:R290=17.0294    P5940:R291=17.0587    P5940:R292=17.088    
P5940:R293=17.1172    P5940:R294=17.1464    P5940:R295=17.1756    P5940:R296=17.2047    
P5940:R297=17.2337    P5940:R298=17.2627    P5940:R299=17.2916    P5940:R300=17.3205    
P5940:R301=17.3494    P5940:R302=17.3781    P5940:R303=17.4069    P5940:R304=17.4356    
P5940:R305=17.4642    P5940:R306=17.4929    P5940:R307=17.5214    P5940:R308=17.5499    
P5940:R309=17.5784    P5940:R310=17.6068    P5940:R311=17.6352    P5940:R312=17.6635    
P5940:R313=17.6918    P5940:R314=17.72    P5940:R315=17.7482    P5940:R316=17.7764    
P5940:R317=17.8045    P5940:R318=17.8326    P5940:R319=17.8606    P5940:R320=17.8885    
P5940:R321=17.9165    P5940:R322=17.9444    P5940:R323=17.9722    P5940:R324=18    
P5940:R325=18.0278    P5940:R326=18.0555    P5940:R327=18.0831    P5940:R328=18.1108    
P5940:R329=18.1384    P5940:R330=18.1659    P5940:R331=18.1934    P5940:R332=18.2209    
P5940:R333=18.2483    P5940:R334=18.2757    P5940:R335=18.303    P5940:R336=18.3303    
P5940:R337=18.3576    P5940:R338=18.3848    P5940:R339=18.412    P5940:R340=18.4391    
P5940:R341=18.4662    P5940:R342=18.4932    P5940:R343=18.5203    P5940:R344=18.5472    
P5940:R345=18.5742    P5940:R346=18.6011    P5940:R347=18.6279    P5940:R348=18.6548    
